ZIP,Neighborhood,Borough,Cases,"Cases per 100,000","Deaths per 100,000",Percent positive<br>(of people tested)
11377,Woodside,Queens,2751,3181.5,227.83,8.97
11378,Maspeth,Queens,924,2671.03,213.91,8.35
11379,Middle Village,Queens,1003,2771.06,281.8,8.48
11385,Glendale/Ridgewood,Queens,2777,2697.95,139.9,9.19
11411,Cambria Heights,Queens,772,3766.91,243.97,13.86
11412,St. Albans,Queens,1400,3558.09,228.73,12.63
11413,Laurelton/Rosedale,Queens,1505,3448.04,238.27,12.77
11414,Hamilton Beach/Howard Beach/Lindenwood,Queens,979,3463.58,222.89,11.65
11415,Kew Gardens,Queens,681,3540.56,275.55,9.69
11416,Ozone Park,Queens,912,3426.71,214.17,12.47
11417,Ozone Park,Queens,1043,3335.4,156.7,11.01
11418,Richmond Hill,Queens,1318,3458.85,278.18,12.06
11419,Richmond Hill/South Ozone Park,Queens,1439,2829.96,194.69,12.39
11420,South Ozone Park,Queens,1631,3368.74,223.07,13.32
11421,Woodhaven,Queens,1460,3458.94,244.02,12.63
11422,Rosedale,Queens,1120,3321.31,198.69,12.32
11423,Hollis/Holliswood,Queens,1278,3988.62,337.07,13.13
11426,Bellerose,Queens,592,2907.19,166.97,11.12
11427,Bellerose/Hollis Hills/Holliswood,Queens,911,3924.63,224.02,12.24
11428,Queens Village,Queens,762,3942.58,284.57,13.53
11429,Queens Village,Queens,1122,4001.95,271.08,12.84
11432,Hillcrest/Jamaica Estates/Jamaica Hills,Queens,2285,3615.77,411.42,12.29
11433,Jamaica,Queens,1118,3102.47,227.55,11.34
11434,Airport/South Jamaica/Springfield Gardens/St. Albans,Queens,2374,3515.16,297.62,12.32
11435,Briarwood/Jamaica,Queens,1993,3456.24,260.13,12.22
11436,South Jamaica/South Ozone Park,Queens,626,3008.54,225.88,11.93
11691,Edgemere/Far Rockaway,Queens,3188,4922.87,585.25,13.35
11692,Arverne/Edgemere,Queens,750,3727.59,472.16,10.89
11693,Arverne/Broad Channel,Queens,379,3061.07,234.22,10.6
11694,Belle Harbor-Neponsit/Rockaway Park,Queens,844,4146.24,442.13,11.56
11697,Breezy Point,Queens,128,3619.2,141.38,6.51
