DATE_OF_INTEREST,Cases,Hospitalizations,Deaths
05/16/2020,165,28,24
05/17/2020,137,15,19
05/18/2020,266,29,17
05/19/2020,328,41,16
05/20/2020,324,31,21
05/21/2020,336,39,15
05/22/2020,351,42,15
05/23/2020,144,22,20
05/24/2020,161,21,12
05/25/2020,160,24,14
05/26/2020,319,21,12
05/27/2020,246,23,11
05/28/2020,221,30,12
05/29/2020,168,20,16
05/30/2020,106,18,11
05/31/2020,84,18,11
06/01/2020,252,33,10
06/02/2020,185,24,6
06/03/2020,133,26,13
06/04/2020,131,26,10
06/05/2020,132,17,6
06/06/2020,59,10,10
06/07/2020,52,18,6
06/08/2020,112,19,13
06/09/2020,121,22,6
06/10/2020,97,17,11
06/11/2020,114,15,4
06/12/2020,123,21,6
06/13/2020,52,11,4
06/14/2020,53,12,7
06/15/2020,102,22,4
06/16/2020,133,24,5
06/17/2020,113,13,7
06/18/2020,112,16,4
06/19/2020,91,23,3
06/20/2020,46,9,4
06/21/2020,54,18,6
06/22/2020,109,20,7
06/23/2020,95,16,9
06/24/2020,101,16,11
06/25/2020,82,11,5
06/26/2020,94,17,3
06/27/2020,70,19,11
06/28/2020,58,11,1
06/29/2020,127,24,5
06/30/2020,127,17,5
07/01/2020,120,13,5
07/02/2020,129,14,4
07/03/2020,73,13,4
07/04/2020,23,9,6
07/05/2020,53,3,5
07/06/2020,142,23,4
07/07/2020,123,7,4
07/08/2020,121,12,5
07/09/2020,104,12,4
07/10/2020,91,16,3
07/11/2020,72,14,2
07/12/2020,55,10,4
07/13/2020,123,14,2
07/14/2020,111,9,4
07/15/2020,150,18,2
07/16/2020,90,10,3
07/17/2020,106,16,0
07/18/2020,58,7,5
07/19/2020,40,9,3
07/20/2020,85,9,4
07/21/2020,79,11,5
07/22/2020,96,13,1
07/23/2020,84,10,5
07/24/2020,68,12,2
07/25/2020,35,9,2
07/26/2020,40,7,4
07/27/2020,80,14,2
07/28/2020,106,18,1
07/29/2020,72,11,1
07/30/2020,98,17,2
07/31/2020,79,10,1
08/01/2020,58,15,3
08/02/2020,41,9,2
08/03/2020,93,12,0
08/04/2020,49,13,2
08/05/2020,95,14,0
08/06/2020,86,10,2
08/07/2020,89,9,0
08/08/2020,57,5,1
08/09/2020,48,10,0
08/10/2020,74,13,1
08/11/2020,82,8,1
08/12/2020,114,11,0
08/13/2020,87,14,2
08/14/2020,80,11,1
08/15/2020,33,8,2
08/16/2020,49,5,1
08/17/2020,94,9,1
08/18/2020,65,9,0
08/19/2020,68,13,1
08/20/2020,55,7,3
08/21/2020,75,9,0
08/22/2020,35,7,2
08/23/2020,55,5,0
08/24/2020,85,6,1
08/25/2020,83,14,2
08/26/2020,116,11,1
08/27/2020,95,8,0
08/28/2020,78,9,1
08/29/2020,38,9,1
08/30/2020,60,4,2
08/31/2020,116,13,0
09/01/2020,92,8,0
09/02/2020,96,11,3
09/03/2020,91,9,2
09/04/2020,71,10,1
09/05/2020,46,9,3
09/06/2020,88,13,2
09/07/2020,74,7,0
09/08/2020,128,9,1
09/09/2020,119,11,0
09/10/2020,124,9,0
09/11/2020,111,8,1
09/12/2020,50,4,0
09/13/2020,117,8,2
09/14/2020,167,11,2
09/15/2020,151,11,0
09/16/2020,165,24,0
09/17/2020,125,9,1
09/18/2020,109,14,2
09/19/2020,36,7,2
09/20/2020,60,6,1
09/21/2020,248,10,1
09/22/2020,172,13,3
09/23/2020,238,24,1
09/24/2020,232,11,1
09/25/2020,189,20,0
09/26/2020,107,8,1
09/27/2020,183,15,2
09/28/2020,139,13,2
09/29/2020,334,17,3
09/30/2020,275,32,4
10/01/2020,290,22,1
10/02/2020,262,23,1
10/03/2020,80,11,1
