DATE_OF_INTEREST,Cases,Hospitalizations,Deaths
02/29/2020,0,0,0
03/03/2020,0,0,0
03/04/2020,0,0,0
03/05/2020,0,0,0
03/06/2020,2,1,0
03/07/2020,0,1,0
03/08/2020,3,2,0
03/09/2020,4,6,0
03/10/2020,8,4,0
03/11/2020,19,19,0
03/12/2020,29,12,0
03/13/2020,79,30,0
03/14/2020,86,24,0
03/15/2020,120,35,1
03/16/2020,305,69,3
03/17/2020,343,63,1
03/18/2020,482,107,1
03/19/2020,623,126,4
03/20/2020,723,119,13
03/21/2020,488,160,12
03/22/2020,494,168,12
03/23/2020,730,221,12
03/24/2020,927,267,14
03/25/2020,1064,298,30
03/26/2020,998,322,37
03/27/2020,1090,317,36
03/28/2020,762,321,62
03/29/2020,700,320,55
03/30/2020,1313,341,75
03/31/2020,1283,384,98
04/01/2020,1240,386,93
04/02/2020,1290,368,96
04/03/2020,1450,374,116
04/04/2020,1011,302,107
04/05/2020,823,323,123
04/06/2020,1514,403,112
04/07/2020,1464,348,115
04/08/2020,1306,387,114
04/09/2020,1283,314,108
04/10/2020,1229,308,118
04/11/2020,998,278,133
04/12/2020,763,242,110
04/13/2020,692,289,122
04/14/2020,1076,228,111
04/15/2020,1069,215,94
04/16/2020,939,197,86
04/17/2020,916,200,89
04/18/2020,552,151,62
04/19/2020,532,143,78
04/20/2020,981,170,78
04/21/2020,641,152,70
04/22/2020,928,127,68
04/23/2020,734,122,59
04/24/2020,580,113,62
04/25/2020,416,92,56
04/26/2020,196,79,55
04/27/2020,550,102,53
04/28/2020,669,95,56
04/29/2020,557,82,40
04/30/2020,482,65,45
05/01/2020,449,79,45
05/02/2020,263,56,49
05/03/2020,153,47,27
05/04/2020,349,59,35
05/05/2020,294,67,27
05/06/2020,279,60,29
05/07/2020,298,44,28
05/08/2020,252,54,22
05/09/2020,175,37,21
05/10/2020,75,27,13
05/11/2020,226,47,27
05/12/2020,355,33,20
05/13/2020,461,35,16
05/14/2020,257,25,11
05/15/2020,182,29,16
