DATE_OF_INTEREST,Cases,Hospitalizations,Deaths
05/27/2020,165,26,18
05/28/2020,178,22,10
05/29/2020,212,30,14
05/30/2020,109,17,17
05/31/2020,79,21,16
06/01/2020,157,17,16
06/02/2020,163,18,15
06/03/2020,148,20,9
06/04/2020,148,23,9
06/05/2020,103,18,5
06/06/2020,98,13,11
06/07/2020,74,8,10
06/08/2020,147,22,15
06/09/2020,130,13,10
06/10/2020,109,17,8
06/11/2020,117,15,8
06/12/2020,131,13,10
06/13/2020,73,16,2
06/14/2020,68,14,6
06/15/2020,122,15,6
06/16/2020,120,20,7
06/17/2020,93,16,8
06/18/2020,123,22,6
06/19/2020,123,11,5
06/20/2020,54,10,6
06/21/2020,58,11,11
06/22/2020,119,13,9
06/23/2020,122,12,5
06/24/2020,103,16,8
06/25/2020,79,12,4
06/26/2020,76,8,5
06/27/2020,60,6,6
06/28/2020,58,12,6
06/29/2020,133,13,7
06/30/2020,113,14,8
07/01/2020,93,13,3
07/02/2020,118,18,5
07/03/2020,65,4,6
07/04/2020,32,8,3
07/05/2020,38,12,2
07/06/2020,119,20,4
07/07/2020,106,14,4
07/08/2020,88,5,5
07/09/2020,94,11,1
07/10/2020,90,14,1
07/11/2020,86,8,5
07/12/2020,70,7,5
07/13/2020,138,12,5
07/14/2020,122,13,3
07/15/2020,90,11,7
07/16/2020,109,6,3
07/17/2020,105,17,8
07/18/2020,49,8,2
07/19/2020,46,13,0
07/20/2020,109,7,3
07/21/2020,100,6,2
07/22/2020,76,12,4
07/23/2020,63,7,4
07/24/2020,75,11,1
07/25/2020,46,6,2
07/26/2020,33,5,2
07/27/2020,78,10,1
07/28/2020,73,8,4
07/29/2020,68,6,1
07/30/2020,61,9,0
07/31/2020,60,6,1
08/01/2020,54,3,1
08/02/2020,33,11,0
08/03/2020,84,9,1
08/04/2020,46,6,2
08/05/2020,79,12,3
08/06/2020,66,8,2
08/07/2020,58,7,2
08/08/2020,43,4,0
08/09/2020,36,5,2
08/10/2020,76,6,2
08/11/2020,51,4,2
08/12/2020,86,10,0
08/13/2020,67,10,0
08/14/2020,69,16,0
08/15/2020,42,4,0
08/16/2020,39,5,2
08/17/2020,92,12,2
08/18/2020,87,15,0
08/19/2020,69,5,1
08/20/2020,54,12,2
08/21/2020,60,8,3
08/22/2020,34,7,1
08/23/2020,40,10,0
08/24/2020,83,6,0
08/25/2020,69,10,0
08/26/2020,66,4,3
08/27/2020,61,11,0
08/28/2020,51,6,1
08/29/2020,32,5,1
08/30/2020,42,6,2
08/31/2020,77,13,0
09/01/2020,72,6,1
09/02/2020,69,8,1
09/03/2020,89,8,1
09/04/2020,59,10,2
09/05/2020,34,3,0
09/06/2020,60,6,2
09/07/2020,52,8,1
09/08/2020,95,7,0
09/09/2020,82,9,1
09/10/2020,70,8,1
09/11/2020,77,7,0
09/12/2020,61,4,3
09/13/2020,65,5,1
09/14/2020,97,5,2
09/15/2020,72,5,1
09/16/2020,81,12,3
09/17/2020,93,5,1
09/18/2020,66,5,0
09/19/2020,54,7,1
09/20/2020,28,4,1
09/21/2020,114,5,0
